ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
2,1496755507,1321,1,42,-15,-91,0,0,0
2,1496755507,1321,2,42,-12,-91,-2,0,0
2,1496755507,1321,3,44,-14,-90,0,0,0
2,1496755507,1321,4,43,-15,-90,0,0,0
2,1496755507,1321,5,44,-11,-89,0,0,0
2,1496755507,1321,6,44,-12,-89,0,0,0
2,1496755507,1321,7,42,-11,-90,0,0,0
2,1496755507,1321,8,43,-12,-90,0,0,0
2,1496755507,1321,9,44,-13,-90,0,0,0
2,1496755507,1321,10,36,-19,-97,0,0,0
2,1496755507,1321,11,43,-10,-93,0,0,0
2,1496755507,1321,12,42,-9,-95,0,1,0
2,1496755507,1321,13,45,-10,-88,0,0,0
2,1496755507,1321,14,47,-12,-90,0,0,0
2,1496755507,1321,15,36,-11,-100,0,1,0
2,1496755507,1321,16,47,-10,-91,0,0,0
2,1496755507,1321,17,43,-13,-93,0,0,0
2,1496755507,1321,18,40,-17,-90,0,0,0
2,1496755507,1321,19,46,-13,-88,0,1,0
2,1496755507,1321,20,42,-15,-90,0,0,0
2,1496755508,1322,1,40,-8,-88,0,0,0
2,1496755508,1322,2,43,-16,-93,0,1,0
2,1496755508,1322,3,46,-15,-92,0,0,0
2,1496755508,1322,4,42,-13,-90,0,0,0
2,1496755508,1322,5,44,-12,-94,0,0,0
2,1496755508,1322,6,43,-12,-90,0,1,0
2,1496755508,1322,7,42,-12,-87,0,1,0
2,1496755508,1322,8,44,-11,-92,0,0,0
2,1496755508,1322,9,43,-12,-89,0,0,0
2,1496755508,1322,10,38,-12,-89,0,0,0
2,1496755508,1322,11,45,-9,-90,0,0,0
2,1496755508,1322,12,49,-14,-95,0,0,0
2,1496755508,1322,13,37,-16,-91,0,1,0
2,1496755508,1322,14,48,-8,-91,0,1,0
2,1496755508,1322,15,50,-18,-92,0,0,0
2,1496755508,1322,16,37,-12,-85,-2,1,0
2,1496755508,1322,17,54,-9,-96,0,1,0
2,1496755508,1322,18,51,-14,-89,0,0,0
2,1496755508,1322,19,33,-5,-74,0,1,0
2,1496755508,1322,20,54,-24,-95,0,1,0
2,1496755509,1323,1,32,-14,-105,0,1,0
2,1496755509,1323,2,41,-7,-95,0,1,0
2,1496755509,1323,3,52,-24,-86,0,0,0
2,1496755509,1323,4,43,-15,-90,0,3,0
2,1496755509,1323,5,48,-8,-92,0,0,0
2,1496755509,1323,6,42,-15,-83,0,0,-2
2,1496755509,1323,7,44,-18,-94,0,7,1
2,1496755509,1323,8,37,-16,-74,0,1,0
2,1496755509,1323,9,36,-24,-83,0,7,0
2,1496755509,1323,10,53,-5,-94,-2,-10,0
2,1496755509,1323,11,48,-24,-105,0,7,0
2,1496755509,1323,12,43,-21,-107,0,7,0
2,1496755509,1323,13,47,-7,-73,-2,-10,3
2,1496755509,1323,14,41,-33,-107,0,11,-4
2,1496755509,1323,15,33,-5,-82,0,11,-2
2,1496755509,1323,16,32,-31,-92,0,11,0
2,1496755509,1323,17,48,-14,-87,0,0,1
2,1496755509,1323,18,51,-2,-88,0,-10,0
2,1496755509,1323,19,43,-4,-66,0,0,0
2,1496755509,1323,20,33,-33,-97,0,9,0
2,1496755510,1324,1,38,-31,-103,0,9,0
2,1496755510,1324,2,37,-28,-95,0,9,-2
2,1496755510,1324,3,46,-21,-110,-2,-2,0
2,1496755510,1324,4,39,-24,-95,0,3,0
2,1496755510,1324,5,37,-5,-73,0,3,-4
2,1496755510,1324,6,41,-21,-82,0,3,0
2,1496755510,1324,7,41,-19,-100,0,7,-2
2,1496755510,1324,8,45,-3,-82,0,-2,0
2,1496755510,1324,9,36,-22,-78,0,11,-2
2,1496755510,1324,10,43,-10,-74,0,0,1
2,1496755510,1324,11,41,-17,-91,0,5,0
2,1496755510,1324,12,41,-13,-84,0,1,0
2,1496755510,1324,13,40,-14,-86,0,1,0
2,1496755510,1324,14,51,-16,-90,0,0,0
2,1496755510,1324,15,42,-17,-90,0,3,0
2,1496755510,1324,16,40,-16,-92,0,1,0
2,1496755510,1324,17,42,-11,-88,0,0,0
2,1496755510,1324,18,42,-15,-90,0,0,0
2,1496755510,1324,19,41,-13,-90,0,0,0
2,1496755510,1324,20,44,-9,-91,0,0,0
2,1496755510,1324,1,43,-12,-88,0,0,0
2,1496755510,1324,2,44,-12,-89,0,0,0
2,1496755510,1324,3,43,-16,-87,0,0,0
2,1496755510,1324,4,43,-16,-89,0,1,0
2,1496755510,1324,5,41,-11,-87,0,0,0
2,1496755510,1324,6,43,-15,-89,0,1,0
2,1496755510,1324,7,41,-19,-100,0,7,-2
2,1496755510,1324,8,45,-3,-82,0,-2,0
2,1496755510,1324,9,36,-22,-78,0,11,-2
2,1496755510,1324,10,43,-10,-74,0,0,1
2,1496755510,1324,11,41,-17,-91,0,5,0
2,1496755510,1324,12,41,-13,-84,0,1,0
2,1496755510,1324,13,40,-14,-86,0,1,0
2,1496755510,1324,14,51,-16,-90,0,0,0
