ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1496755508,1318,1,33,3,-90,0,0,1
0,1496755508,1318,2,31,11,-84,0,0,0
0,1496755508,1318,3,19,10,-90,0,0,1
0,1496755508,1318,4,30,0,-93,0,-2,1
0,1496755508,1318,5,23,7,-85,0,-2,1
0,1496755508,1318,6,21,2,-80,0,0,1
0,1496755508,1318,7,27,3,-92,1,-2,0
0,1496755508,1318,8,24,6,-83,0,-2,1
0,1496755508,1318,9,19,13,-82,0,-2,1
0,1496755508,1318,10,36,-3,-90,0,0,1
0,1496755508,1318,11,35,-4,-98,1,0,1
0,1496755508,1318,12,21,7,-84,0,0,1
0,1496755508,1318,13,31,11,-97,0,0,1
0,1496755508,1318,14,26,3,-89,0,0,1
0,1496755508,1318,15,31,0,-83,0,-2,1
0,1496755508,1318,16,29,0,-97,1,0,0
0,1496755508,1318,17,35,-4,-83,0,0,1
0,1496755508,1318,18,24,5,-81,0,0,0
0,1496755508,1318,19,33,9,-87,1,0,1
0,1496755508,1318,20,21,10,-89,1,0,3
0,1496755510,1320,1,16,8,-78,0,0,1
0,1496755510,1320,2,34,3,-100,0,0,1
0,1496755510,1320,3,31,-1,-91,0,0,1
0,1496755510,1320,4,33,8,-96,0,0,1
0,1496755510,1320,5,28,-2,-79,0,-4,3
0,1496755510,1320,6,18,5,-91,0,0,1
0,1496755510,1320,7,24,-9,-86,0,-2,0
0,1496755510,1320,8,36,5,-80,0,-2,1
0,1496755510,1320,9,23,6,-94,1,0,0
0,1496755510,1320,10,30,0,-85,1,0,1
0,1496755510,1320,11,37,-2,-78,0,-2,1
0,1496755510,1320,12,18,2,-84,0,-2,3
0,1496755510,1320,13,30,0,-91,0,0,1
0,1496755510,1320,14,34,-3,-86,1,0,0
0,1496755510,1320,15,31,10,-88,0,-2,1
0,1496755510,1320,16,31,15,-90,0,-2,3
0,1496755510,1320,17,34,-3,-86,0,0,1
0,1496755510,1320,18,31,-1,-85,0,0,0
0,1496755510,1320,19,24,4,-77,1,0,0
0,1496755510,1320,20,29,0,-91,0,0,0
0,1496755512,1322,1,11,3,-90,1,0,1
0,1496755512,1322,2,26,4,-94,0,-2,1
0,1496755512,1322,3,36,1,-91,0,0,1
0,1496755512,1322,4,3,13,-84,0,0,1
0,1496755512,1322,5,33,8,-89,0,0,0
0,1496755512,1322,6,25,12,-87,0,0,1
0,1496755512,1322,7,23,-6,-91,0,0,0
0,1496755512,1322,8,20,10,-93,0,0,1
0,1496755512,1322,9,28,17,-86,0,0,1
