ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
1,1496756574,1606,1,-31,-89,-46,0,1,1
1,1496756574,1606,2,-31,-86,-30,0,3,1
1,1496756574,1606,3,-30,-89,-38,0,5,1
1,1496756574,1606,4,-36,-85,-38,0,5,1
1,1496756574,1606,5,-26,-95,-43,0,1,1
1,1496756574,1606,6,-28,-92,-28,0,3,0
1,1496756574,1606,7,-28,-80,-27,0,3,0
1,1496756574,1606,8,-34,-84,-38,0,3,0
1,1496756574,1606,9,-25,-93,-38,0,3,0
1,1496756574,1606,10,-30,-92,-29,0,1,1
1,1496756574,1606,11,-31,-80,-21,0,3,0
1,1496756574,1606,12,-31,-96,-29,0,1,0
1,1496756574,1606,13,-35,-90,-38,0,0,0
1,1496756574,1606,14,-38,-90,-24,0,1,5
1,1496756574,1606,15,-42,-86,-30,0,1,5
1,1496756574,1606,16,-46,-98,-30,0,0,9
1,1496756574,1606,17,-42,-84,-37,0,0,17
1,1496756574,1606,18,-8,-94,47,20,7,9
1,1496756574,1606,19,-50,-81,-21,3,-4,0
1,1496756574,1606,20,-27,-95,-27,-2,0,-2
1,1496756575,1607,1,-28,-87,-26,-2,1,0
1,1496756575,1607,2,-46,-84,-39,-2,1,0
1,1496756575,1607,3,-32,-79,-28,0,0,0
1,1496756575,1607,4,-27,-85,-23,0,0,0
1,1496756575,1607,5,-35,-85,-24,-2,1,0
1,1496756575,1607,6,-31,-98,-18,0,0,0
1,1496756575,1607,7,-52,-76,-24,0,1,0
1,1496756575,1607,8,-47,-81,-19,0,1,0
1,1496756575,1607,9,-37,-89,-30,-2,1,0
1,1496756575,1607,10,-36,-87,-31,0,0,0
1,1496756575,1607,11,-33,-84,-16,0,0,0
1,1496756575,1607,12,-43,-93,-15,-2,0,0
1,1496756575,1607,13,-43,-103,-20,-2,0,0
1,1496756575,1607,14,-44,-94,-17,-2,0,0
1,1496756575,1607,15,-40,-87,-12,-2,0,0
1,1496756575,1607,16,-38,-96,-20,-2,0,0
1,1496756575,1607,17,-38,-91,-21,-2,0,0
1,1496756575,1607,18,-48,-83,-29,-4,0,0
1,1496756575,1607,19,-47,-87,-21,-2,1,0
1,1496756575,1607,20,-39,-88,-25,-2,0,0
1,1496756576,1608,1,-38,-85,-16,-2,0,0
1,1496756576,1608,2,-44,-93,-18,-2,1,0
1,1496756576,1608,3,-31,-82,-7,-2,0,0
1,1496756576,1608,4,-39,-85,-28,-2,0,0
1,1496756576,1608,5,-48,-93,-54,-2,0,-2
1,1496756576,1608,6,-30,-74,-110,-50,60,-72
1,1496756576,1608,7,-54,-97,-17,1,-4,-4
1,1496756576,1608,8,-33,-94,-23,-4,1,-2
1,1496756576,1608,9,-35,-94,-22,-2,1,-2
1,1496756576,1608,10,-25,-91,-27,-2,1,-4
1,1496756576,1608,11,-33,-94,-25,0,1,-4
1,1496756576,1608,12,-29,-90,-29,0,3,0
1,1496756576,1608,13,-31,-90,-35,-2,0,-2
1,1496756576,1608,14,-41,-89,-33,-2,1,0
1,1496756576,1608,15,-18,-89,-27,0,0,0
1,1496756576,1608,16,-26,-87,-20,0,0,-2
1,1496756576,1608,17,-25,-91,-23,0,0,0
1,1496756576,1608,18,-22,-96,-25,0,0,0
1,1496756576,1608,19,-27,-88,-39,0,0,-4
1,1496756576,1608,20,-30,-88,-22,-2,1,-6
1,1496756577,1609,1,-25,-86,-29,0,1,-6
1,1496756577,1609,2,-21,-91,-28,-2,1,0
1,1496756577,1609,3,-29,-96,-33,-2,1,0
1,1496756577,1609,4,-24,-88,-27,-2,1,-2
1,1496756577,1609,5,-19,-92,-27,-2,0,0
1,1496756577,1609,6,-23,-81,-40,-2,0,0
1,1496756577,1609,7,-15,-97,-27,-2,0,0
1,1496756577,1609,8,-14,-93,-22,-2,0,0
1,1496756577,1609,9,-29,-91,-25,-2,3,0
1,1496756577,1609,10,-22,-92,-18,-2,1,0
1,1496756577,1609,11,-21,-94,-16,-2,0,0
1,1496756577,1609,12,-26,-91,-32,-4,1,0
1,1496756577,1609,13,-20,-93,-23,-4,3,0
1,1496756577,1609,14,-20,-94,-34,-4,1,0
1,1496756577,1609,15,-29,-101,-42,0,0,0
1,1496756577,1609,16,-26,-86,-25,-4,1,0
1,1496756577,1609,17,-17,-90,-22,-6,3,0
1,1496756577,1609,18,-20,-104,-31,0,0,-2
1,1496756577,1609,19,-17,-83,-20,-4,0,0
1,1496756577,1609,20,-25,-90,-30,0,1,0
1,1496756577,1609,1,-20,-96,-34,-2,3,0
1,1496756577,1609,2,-24,-93,-34,0,0,0
1,1496756577,1609,3,-22,-90,-32,0,1,0
1,1496756577,1609,4,-21,-88,-23,0,0,0
1,1496756577,1609,5,-19,-90,-28,-2,0,0
1,1496756577,1609,6,-29,-100,-38,-2,0,-2
1,1496756577,1609,7,-32,-101,-38,-2,0,-2
1,1496756577,1609,8,-14,-93,-22,-2,0,0
1,1496756577,1609,9,-29,-91,-25,-2,3,0
1,1496756577,1609,10,-22,-92,-18,-2,1,0
1,1496756577,1609,11,-21,-94,-16,-2,0,0
1,1496756577,1609,12,-26,-91,-32,-4,1,0
1,1496756577,1609,13,-20,-93,-23,-4,3,0
1,1496756577,1609,14,-20,-94,-34,-4,1,0
1,1496756577,1609,15,-29,-101,-42,0,0,0
1,1496756577,1609,16,-26,-86,-25,-4,1,0
1,1496756577,1609,17,-17,-90,-22,-6,3,0
1,1496756577,1609,18,-20,-104,-31,0,0,-2
1,1496756577,1609,19,-17,-83,-20,-4,0,0
1,1496756577,1609,20,-25,-90,-30,0,1,0
1,1496756578,1610,1,-20,-96,-34,-2,3,0
1,1496756578,1610,2,-24,-93,-34,0,0,0
1,1496756578,1610,3,-22,-90,-32,0,1,0
1,1496756578,1610,4,-21,-88,-23,0,0,0
1,1496756578,1610,5,-19,-90,-28,-2,0,0
1,1496756578,1610,6,-29,-100,-38,-2,0,-2
1,1496756578,1610,7,-32,-101,-38,-2,0,-2
1,1496756578,1610,8,-29,-82,-29,-2,1,0
1,1496756578,1610,9,-28,-84,-30,-2,0,0
1,1496756578,1610,10,-27,-85,-39,0,0,0
1,1496756578,1610,11,-14,-101,-26,0,0,0
1,1496756578,1610,12,-20,-92,-35,-2,1,0
1,1496756578,1610,13,-14,-90,-30,-2,1,-2
1,1496756578,1610,14,-29,-97,-41,-2,0,-2
1,1496756578,1610,15,-28,-95,-37,0,0,0
1,1496756578,1610,16,-22,-87,-19,0,0,-2
1,1496756578,1610,17,-24,-90,-27,1,0,-2
1,1496756578,1610,18,-18,-96,-21,3,0,-2
1,1496756578,1610,19,-17,-95,-33,-2,3,0
1,1496756578,1610,20,-30,-91,-33,0,-2,0
1,1496756579,1611,1,-19,-97,-25,0,0,-2
1,1496756579,1611,2,-18,-90,-35,-2,1,0
1,1496756579,1611,3,-15,-104,-32,0,1,0
1,1496756579,1611,4,-31,-100,-26,-4,0,0
1,1496756579,1611,5,-26,-93,-33,-2,1,0
1,1496756579,1611,6,-21,-89,-27,-4,1,0
1,1496756579,1611,7,-29,-89,-27,-2,0,0
1,1496756579,1611,8,-22,-90,-21,0,1,0
1,1496756579,1611,9,-25,-88,-32,-2,0,0
1,1496756579,1611,10,-7,-85,-18,-2,1,0
1,1496756579,1611,11,-25,-93,-44,-2,1,0
1,1496756579,1611,12,-23,-94,-21,-2,1,0
1,1496756579,1611,13,-27,-86,-30,0,0,0
1,1496756579,1611,14,-22,-82,-37,0,0,0
1,1496756579,1611,15,-22,-98,-38,0,0,-2
1,1496756579,1611,16,-22,-101,-31,0,0,0
1,1496756579,1611,17,-20,-93,-23,0,0,0
1,1496756579,1611,18,-17,-91,-30,0,1,0
1,1496756579,1611,19,-31,-96,-32,-2,1,0
1,1496756579,1611,20,-25,-95,-34,-4,5,0
1,1496756580,1612,1,-27,-85,-28,-2,1,0
1,1496756580,1612,2,-23,-94,-17,-2,1,0
1,1496756580,1612,3,-23,-86,-27,0,0,0
1,1496756580,1612,4,-22,-97,-38,0,0,0
1,1496756580,1612,5,-13,-95,-28,0,1,0
1,1496756580,1612,6,-20,-92,-33,0,1,0
1,1496756580,1612,7,-20,-94,-29,-2,0,0
1,1496756580,1612,8,-19,-89,-37,0,0,1
1,1496756580,1612,9,-22,-83,-35,-2,0,1
1,1496756580,1612,10,-17,-84,-37,0,0,0
1,1496756580,1612,11,-15,-96,-17,0,0,0
1,1496756580,1612,12,-20,-94,-24,0,0,0
1,1496756580,1612,13,-17,-86,-29,0,1,0
1,1496756580,1612,14,-24,-94,-33,-2,1,0
1,1496756580,1612,15,-15,-102,-36,0,0,-2
1,1496756580,1612,16,-25,-91,-15,-4,1,0
1,1496756580,1612,17,-21,-93,-26,-2,0,-2
1,1496756580,1612,18,-28,-100,-39,-4,0,-2
1,1496756580,1612,19,-21,-90,-15,-4,0,0
1,1496756580,1612,20,-15,-89,-32,-2,0,0
1,1496756581,1613,1,-23,-87,-24,-2,1,0
1,1496756581,1613,2,-21,-82,-36,0,0,0
1,1496756581,1613,3,-25,-98,-28,-2,1,0
1,1496756581,1613,4,-26,-99,-11,-4,7,0
1,1496756581,1613,5,-17,-86,-30,0,0,0
1,1496756581,1613,6,-22,-108,-41,-2,-2,0
1,1496756581,1613,7,-26,-111,-35,-2,0,0
1,1496756581,1613,8,-18,-84,-29,-2,0,0
1,1496756581,1613,9,-25,-88,-28,-2,1,0
1,1496756581,1613,10,-25,-102,-31,0,1,-2
1,1496756581,1613,11,-26,-93,-37,0,1,0
1,1496756581,1613,12,-25,-107,-31,1,1,-4
1,1496756581,1613,13,-25,-97,-32,0,1,-2
1,1496756581,1613,14,-32,-91,-32,0,0,-2
1,1496756581,1613,15,-21,-97,-19,0,0,0
1,1496756581,1613,16,-28,-100,-28,0,0,-2
1,1496756581,1613,17,-20,-96,-27,0,0,0
1,1496756581,1613,18,-25,-91,-32,0,0,0
1,1496756581,1613,19,-17,-86,-25,0,-2,0
1,1496756581,1613,20,-24,-97,-36,0,0,-2
1,1496756582,1614,1,-33,-90,-31,0,0,1
1,1496756582,1614,2,-24,-88,-34,0,0,3
1,1496756582,1614,3,-25,-82,-27,-6,3,1
1,1496756582,1614,4,-37,-64,-35,-2,1,5
1,1496756582,1614,5,-25,-80,-27,0,0,7
1,1496756582,1614,6,-26,-88,-35,-4,1,7
1,1496756582,1614,7,-38,-86,-35,0,0,7
