ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
3,1496756572,2491,1,-22,-25,-93,0,1,3
3,1496756572,2491,2,-28,-25,-104,0,1,3
3,1496756572,2491,3,-37,-21,-87,0,1,3
3,1496756572,2491,4,-16,-22,-103,1,0,3
3,1496756572,2491,5,-25,-11,-105,1,1,1
3,1496756572,2491,6,-19,-20,-100,1,1,1
3,1496756572,2491,7,-40,-30,-102,0,0,3
3,1496756572,2491,8,-35,-19,-98,0,0,3
3,1496756572,2491,9,-52,0,-51,1,0,3
3,1496756572,2491,10,-42,-10,-89,0,0,1
3,1496756572,2491,11,-19,-27,-101,0,0,1
3,1496756572,2491,12,-12,-5,-93,0,1,1
3,1496756572,2491,13,-28,-16,-95,0,1,1
3,1496756572,2491,14,-36,-11,-90,1,1,1
3,1496756572,2491,15,-40,-14,-81,0,1,1
3,1496756572,2491,16,-33,-20,-100,0,0,1
3,1496756572,2491,17,-28,-8,-105,0,0,1
3,1496756572,2491,18,-24,-19,-108,0,0,1
3,1496756572,2491,19,-54,-15,-80,0,0,1
3,1496756572,2491,20,-15,-29,-112,0,0,1
3,1496756573,2492,1,-32,-17,-101,0,0,1
3,1496756573,2492,2,7,-11,127,0,0,1
3,1496756573,2492,3,-58,5,-66,1,1,1
3,1496756573,2492,4,-51,-9,-84,0,0,1
3,1496756573,2492,5,-13,-10,-96,0,1,0
3,1496756573,2492,6,-16,-9,-99,0,0,0
3,1496756573,2492,7,-50,-12,-87,0,0,0
3,1496756573,2492,8,-6,-22,-120,0,1,1
3,1496756573,2492,9,-12,-10,-120,0,0,1
3,1496756573,2492,10,-25,1,-106,0,0,0
3,1496756573,2492,11,-38,2,-79,0,0,0
3,1496756573,2492,12,-46,-20,-91,0,0,0
3,1496756573,2492,13,-18,-8,-107,0,0,0
3,1496756573,2492,14,-12,-10,-109,0,0,0
3,1496756573,2492,15,-4,-6,-92,0,0,0
3,1496756573,2492,16,-59,2,-76,0,0,0
3,1496756573,2492,17,-30,-2,-103,0,0,0
3,1496756573,2492,18,-14,-3,-107,0,0,0
3,1496756573,2492,19,-20,4,-91,0,0,0
3,1496756573,2492,20,-31,-4,-106,0,0,0
3,1496756574,2493,1,-27,-11,-107,0,0,0
3,1496756574,2493,2,-43,-12,-88,0,0,0
3,1496756574,2493,3,-37,-5,-88,0,0,0
3,1496756574,2493,4,-44,-19,-92,0,0,0
3,1496756574,2493,5,-38,-11,-85,0,0,0
3,1496756574,2493,6,-2,-8,126,0,0,0
3,1496756574,2493,7,-3,-9,-103,1,1,0
3,1496756574,2493,8,1,-13,-121,1,1,0
3,1496756574,2493,9,-40,-6,-91,0,1,0
3,1496756574,2493,10,-35,-8,-80,0,1,0
3,1496756574,2493,11,-39,-5,-94,0,0,0
3,1496756574,2493,12,-27,-6,-95,0,0,0
3,1496756574,2493,13,-26,-13,-110,0,0,0
3,1496756574,2493,14,-29,-19,-97,0,0,0
3,1496756574,2493,15,-28,-15,-93,0,0,0
3,1496756574,2493,16,-31,-17,-90,0,0,0
3,1496756574,2493,17,-38,-15,-81,0,0,0
3,1496756574,2493,18,-50,-7,-76,0,0,0
3,1496756574,2493,19,-24,-7,-104,0,0,0
3,1496756574,2493,20,-28,-3,-94,0,0,0
3,1496756575,2494,1,-20,-13,-109,0,0,0
3,1496756575,2494,2,-49,-12,-88,0,0,0
3,1496756575,2494,3,-31,-2,-89,0,0,0
3,1496756575,2494,4,-46,-12,-91,0,0,0
3,1496756575,2494,5,-49,-24,-110,0,0,0
3,1496756575,2494,6,-48,-15,-95,0,0,0
3,1496756575,2494,7,-50,-8,-85,0,0,0
3,1496756575,2494,8,-26,-6,-106,0,0,0
3,1496756575,2494,9,-48,-16,-80,0,0,0
3,1496756575,2494,10,-24,-13,-121,0,0,0
3,1496756575,2494,11,-10,-13,-128,0,0,0
3,1496756575,2494,12,-37,-16,-77,1,1,0
3,1496756575,2494,13,-57,-12,-66,0,0,0
3,1496756575,2494,14,-43,-8,-98,0,0,0
3,1496756575,2494,15,-52,4,-79,0,0,0
3,1496756575,2494,16,-24,-17,-92,1,0,0
3,1496756575,2494,17,-32,-7,-85,1,0,1
3,1496756575,2494,18,-33,-12,-95,0,0,0
3,1496756575,2494,19,-61,-15,-61,1,0,0
3,1496756575,2494,20,-41,-14,-106,-2,0,0
3,1496756576,2495,1,-42,-7,-104,1,1,0
3,1496756576,2495,2,-45,3,-67,3,1,0
3,1496756576,2495,3,-24,-15,-89,0,0,1
3,1496756576,2495,4,-17,-24,127,-2,0,0
3,1496756576,2495,5,-35,-16,-120,-4,0,0
3,1496756576,2495,6,-10,-17,122,-2,0,0
3,1496756576,2495,7,-31,-20,-111,0,0,0
3,1496756576,2495,8,-34,-20,-94,0,0,0
3,1496756576,2495,9,-30,-10,-87,0,0,1
3,1496756576,2495,10,-33,1,-90,0,0,0
3,1496756576,2495,11,-51,-9,-81,1,0,0
3,1496756576,2495,12,0,-19,-107,0,0,0
3,1496756576,2495,13,-22,-6,-86,0,1,1
3,1496756576,2495,14,-62,-14,-84,0,0,0
3,1496756576,2495,15,-18,-22,-122,0,0,0
3,1496756576,2495,16,-38,-27,-93,0,0,1
3,1496756576,2495,17,-29,-19,-111,-2,0,1
3,1496756576,2495,18,-32,-6,-85,-2,0,1
3,1496756576,2495,19,-12,-19,-95,0,1,1
3,1496756576,2495,20,-66,-12,-88,0,0,1
3,1496756576,2496,1,-32,-11,-109,-2,0,0
3,1496756576,2496,2,-52,-29,-74,0,0,1
3,1496756576,2496,3,-65,1,-47,0,0,0
3,1496756576,2496,4,-54,-18,-76,0,0,0
3,1496756576,2496,5,-30,-20,-102,-2,0,0
3,1496756576,2496,6,-24,-3,-115,-2,0,0
3,1496756576,2496,7,-41,-12,-89,0,0,0
3,1496756576,2496,8,-32,-12,-115,0,0,0
3,1496756576,2496,9,-38,-28,-109,0,0,1
3,1496756576,2496,10,-35,-5,-73,0,0,0
3,1496756576,2496,11,-25,-16,-90,0,0,1
3,1496756576,2496,12,-38,-18,-98,0,0,0
3,1496756576,2496,13,-36,-20,-74,0,0,0
3,1496756576,2496,14,-28,-7,-115,0,0,1
3,1496756576,2496,15,-36,-11,-97,0,1,0
3,1496756576,2496,16,-39,-4,-98,0,0,0
3,1496756576,2496,17,-48,-3,-89,0,0,0
3,1496756576,2496,18,-31,-21,-99,0,0,0
3,1496756576,2496,19,-48,-16,-78,0,0,0
3,1496756576,2496,20,-17,-23,123,0,0,0
3,1496756577,2496,1,-55,-7,-70,0,0,0
3,1496756577,2496,2,-30,-23,-102,0,0,0
3,1496756577,2496,3,-31,-28,-101,0,0,1
3,1496756577,2496,4,-38,-5,-96,0,0,0
3,1496756577,2496,5,-40,-11,-93,0,0,0
3,1496756577,2496,6,-10,-8,-105,0,1,0
3,1496756577,2496,7,-51,-10,-80,0,1,0
