ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
4,1496756571,2451,1,-69,64,-24,0,0,0
4,1496756571,2451,2,-72,51,-25,0,0,0
4,1496756571,2451,3,-71,60,-28,0,0,-4
4,1496756571,2451,4,-69,63,-23,0,1,0
4,1496756571,2451,5,-68,54,-36,-2,0,-2
4,1496756571,2451,6,-76,50,-36,0,3,0
4,1496756571,2451,7,-68,65,-23,11,-6,0
4,1496756571,2451,8,-82,56,-42,1,-6,0
4,1496756571,2451,9,-64,55,-31,0,0,0
4,1496756571,2451,10,-74,60,-40,1,-4,-2
4,1496756571,2451,11,-66,55,-34,5,-10,0
4,1496756571,2451,12,-75,52,-30,1,1,0
4,1496756571,2451,13,-62,60,-27,5,-4,1
4,1496756571,2451,14,-64,55,-27,5,-4,1
4,1496756571,2451,15,-75,58,-27,0,9,-2
4,1496756571,2451,16,-72,56,-34,0,-2,3
4,1496756571,2451,17,-71,64,-30,7,-2,0
4,1496756571,2451,18,-71,51,-43,0,-6,3
4,1496756571,2451,19,-80,53,-39,3,-4,0
4,1496756571,2451,20,-75,52,-28,5,0,0
4,1496756572,2452,1,-76,60,-30,1,-8,1
4,1496756572,2452,2,-74,57,-39,-4,-6,3
4,1496756572,2452,3,-69,50,-36,0,0,-6
4,1496756572,2452,4,-72,61,-39,-4,-6,1
4,1496756572,2452,5,-74,53,-49,-4,-2,-2
4,1496756572,2452,6,-83,57,-36,-4,0,0
4,1496756572,2452,7,-77,65,-26,0,-2,-2
4,1496756572,2452,8,-81,53,-38,-4,0,1
4,1496756572,2452,9,-76,48,-32,-6,7,-4
4,1496756572,2452,10,-74,50,-38,0,5,-10
4,1496756572,2452,11,-69,61,-33,0,5,-6
4,1496756572,2452,12,-86,48,-38,0,1,-8
4,1496756572,2452,13,-83,45,-21,0,9,-4
4,1496756572,2452,14,-92,52,-49,-2,-2,0
4,1496756572,2452,15,-84,59,-48,-2,-4,1
4,1496756572,2452,16,-76,42,-24,0,3,-2
4,1496756572,2452,17,-81,65,-33,0,-8,7
4,1496756572,2452,18,-83,60,-29,-6,0,0
4,1496756572,2452,19,-84,56,-47,0,-8,0
4,1496756572,2452,20,-84,43,-20,0,9,-4
4,1496756573,2453,1,-77,64,-36,1,-8,5
4,1496756573,2453,2,-74,36,-29,0,7,-6
4,1496756573,2453,3,-75,42,-45,-6,0,0
4,1496756573,2453,4,-74,53,-31,0,5,-8
4,1496756573,2453,5,-81,62,-49,-2,-10,5
4,1496756573,2453,6,-78,62,-36,1,-12,5
4,1496756573,2453,7,-87,45,-45,-6,0,1
4,1496756573,2453,8,-70,57,-19,0,5,0
