ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
5,1496756570,2461,1,71,-52,-67,-4,1,0
5,1496756570,2461,2,71,-46,-59,-4,1,0
5,1496756570,2461,3,66,-45,-57,-4,1,0
5,1496756570,2461,4,65,-38,-54,-6,1,-4
5,1496756570,2461,5,71,-48,-60,-6,1,-6
5,1496756570,2461,6,71,-43,-57,-6,1,-10
5,1496756570,2461,7,77,-48,-71,-6,1,-14
5,1496756570,2461,8,76,-39,-60,-6,1,-14
5,1496756570,2461,9,75,-45,-61,-4,1,-12
5,1496756570,2461,10,83,-49,-62,-4,0,-14
5,1496756570,2461,11,76,-31,-57,-6,0,-14
5,1496756570,2461,12,68,-35,-55,-4,0,-10
5,1496756570,2461,13,77,-48,-59,-4,0,-6
5,1496756570,2461,14,71,-44,-58,-2,0,-4
5,1496756570,2461,15,73,-42,-53,-2,0,-4
5,1496756570,2461,16,76,-56,-60,-2,0,0
5,1496756570,2461,17,81,-47,-67,-4,0,-2
5,1496756570,2461,18,77,-39,-64,-2,1,-6
5,1496756570,2461,19,66,-33,-58,-2,1,-2
5,1496756570,2461,20,67,-22,-46,-6,1,-10
5,1496756571,2462,1,77,-43,-63,-4,0,-14
5,1496756571,2462,2,76,-39,-57,-6,0,-21
5,1496756571,2462,3,81,-39,-65,-8,0,-25
5,1496756571,2462,4,72,-32,-60,-8,0,-21
5,1496756571,2462,5,83,-32,-65,-4,0,-14
5,1496756571,2462,6,79,-36,-69,-4,0,-10
5,1496756571,2462,7,74,-26,-66,-4,0,-10
5,1496756571,2462,8,71,-13,-50,-6,0,-14
5,1496756571,2462,9,77,-21,-69,-6,0,-18
5,1496756571,2462,10,80,-23,-62,-6,0,-23
5,1496756571,2462,11,74,-27,-82,-6,0,-29
5,1496756571,2462,12,74,-29,-52,-4,0,-21
5,1496756571,2462,13,80,-17,-65,-2,0,-10
5,1496756571,2462,14,82,-19,-60,0,0,0
5,1496756571,2462,15,72,-23,-68,0,0,7
5,1496756571,2462,16,84,-27,-74,1,0,7
5,1496756571,2462,17,85,-35,-65,1,0,9
5,1496756571,2462,18,69,-22,-62,0,0,7
5,1496756571,2462,19,70,-19,-65,0,0,1
5,1496756571,2462,20,75,-19,-61,0,0,0
5,1496756572,2463,1,79,-20,-65,0,0,0
5,1496756572,2463,2,76,-21,-71,0,0,1
5,1496756572,2463,3,81,-20,-75,0,0,3
5,1496756572,2463,4,81,-21,-69,0,0,1
5,1496756572,2463,5,74,-17,-66,0,0,3
5,1496756572,2463,6,77,-14,-60,0,0,3
5,1496756572,2463,7,86,-29,-63,0,1,5
5,1496756572,2463,8,77,-27,-68,0,0,11
5,1496756572,2463,9,80,-37,-71,0,0,9
5,1496756572,2463,10,78,-27,-74,0,0,7
5,1496756572,2463,11,71,-18,-51,0,0,7
5,1496756572,2463,12,86,-28,-72,0,1,5
5,1496756572,2463,13,84,-32,-62,0,0,7
5,1496756572,2463,14,72,-25,-62,0,1,5
5,1496756572,2463,15,86,-32,-67,0,1,3
5,1496756572,2463,16,78,-27,-60,0,1,3
5,1496756572,2463,17,80,-30,-69,0,0,0
5,1496756572,2463,18,76,-20,-61,-2,0,-2
5,1496756572,2463,19,74,-30,-54,-2,0,-2
5,1496756572,2463,20,75,-35,-62,0,0,0
5,1496756572,2464,1,76,-32,-64,0,0,1
5,1496756572,2464,2,74,-26,-52,0,0,1
5,1496756572,2464,3,79,-21,-58,0,1,0
5,1496756572,2464,4,77,-24,-66,-2,0,0
5,1496756572,2464,5,85,-29,-65,0,1,0
5,1496756572,2464,6,91,-30,-64,0,1,0
5,1496756572,2464,7,84,-18,-57,0,0,0
5,1496756572,2464,8,86,-20,-61,0,1,0
5,1496756572,2464,9,82,-19,-58,0,1,-2
5,1496756572,2464,10,81,-27,-48,0,0,-2
5,1496756572,2464,11,86,-30,-53,0,0,0
5,1496756572,2464,12,86,-31,-53,-2,0,-2
5,1496756572,2464,13,81,-23,-60,-2,0,-2
5,1496756572,2464,14,85,-30,-61,-2,0,-2
5,1496756572,2464,15,87,-22,-59,0,0,-2
5,1496756572,2464,16,85,-26,-62,-2,0,-6
5,1496756572,2464,17,85,-23,-66,-4,0,-8
5,1496756572,2464,18,83,-25,-51,-2,0,-8
5,1496756572,2464,19,83,-28,-57,-2,0,0
5,1496756572,2464,20,81,-14,-59,0,0,3
5,1496756574,2466,1,84,-26,-47,0,0,0
5,1496756574,2466,2,88,-33,-53,0,0,0
5,1496756574,2466,3,79,-27,-59,0,0,-2
5,1496756574,2466,4,78,-28,-57,0,0,-8
5,1496756574,2466,5,85,-22,-70,-4,0,-10
5,1496756574,2466,6,78,-26,-63,-2,0,-10
5,1496756574,2466,7,83,-34,-60,0,0,-6
5,1496756574,2466,8,88,-39,-59,0,1,1
5,1496756574,2466,9,93,-35,-63,0,1,5
5,1496756574,2466,10,76,-24,-58,0,0,7
5,1496756574,2466,11,78,-18,-54,0,0,3
5,1496756574,2466,12,86,-26,-56,0,0,5
5,1496756574,2466,13,85,-21,-57,0,0,5
5,1496756574,2466,14,87,-20,-57,0,0,3
5,1496756574,2466,15,81,-31,-62,0,0,7
5,1496756574,2466,16,83,-34,-69,0,0,7
5,1496756574,2466,17,79,-31,-60,0,0,9
5,1496756574,2466,18,69,-20,-53,0,0,5
5,1496756574,2466,19,80,-25,-56,0,0,1
5,1496756574,2466,20,76,-36,-43,0,0,0
5,1496756575,2467,1,93,-34,-65,0,1,0
5,1496756575,2467,2,78,-26,-50,0,0,0
5,1496756575,2467,3,82,-23,-62,0,0,1
5,1496756575,2467,4,82,-28,-55,0,1,1
5,1496756575,2467,5,81,-26,-54,0,0,1
5,1496756575,2467,6,80,-27,-50,0,0,0
5,1496756575,2467,7,86,-35,-57,0,0,0
5,1496756575,2467,8,76,-35,-63,0,0,0
5,1496756575,2467,9,73,-18,-54,-2,0,0
5,1496756575,2467,10,81,-26,-46,0,0,0
5,1496756575,2467,11,82,-28,-59,-2,0,0
5,1496756575,2467,12,74,-26,-48,-2,0,-4
5,1496756575,2467,13,77,-20,-53,-4,0,-4
5,1496756575,2467,14,79,-16,-52,-4,0,-6
5,1496756575,2467,15,82,-22,-61,-2,0,-8
5,1496756575,2467,16,81,-20,-56,-4,0,-8
5,1496756575,2467,17,78,-23,-58,-2,0,-6
5,1496756575,2467,18,83,-27,-58,0,0,0
5,1496756575,2467,19,87,-24,-47,0,1,0
5,1496756575,2467,20,92,-33,-68,0,1,3
5,1496756576,2468,1,81,-27,-56,0,0,3
5,1496756576,2468,2,89,-34,-65,0,0,3
5,1496756576,2468,3,84,-41,-58,0,0,1
5,1496756576,2468,4,81,-23,-48,0,0,1
5,1496756576,2468,5,80,-17,-56,0,0,5
5,1496756576,2468,6,72,-22,-59,0,0,3
5,1496756576,2468,7,78,-32,-51,0,0,5
5,1496756576,2468,8,82,-32,-54,0,1,3
5,1496756576,2468,9,81,-23,-60,0,0,0
5,1496756576,2468,10,83,-28,-61,0,1,0
5,1496756576,2468,11,82,-36,-59,0,1,-2
5,1496756576,2468,12,83,-29,-64,0,0,-2
5,1496756576,2468,13,75,-24,-56,-2,0,-2
5,1496756576,2468,14,87,-28,-58,0,0,-2
5,1496756576,2468,15,82,-8,-58,0,0,-2
5,1496756576,2468,16,95,-34,-72,0,1,-8
5,1496756576,2468,17,81,-13,-53,-2,1,-10
5,1496756576,2468,18,90,-31,-60,-2,1,-12
5,1496756576,2468,19,87,-31,-60,0,0,-4
5,1496756576,2468,20,81,-37,-66,0,0,0
5,1496756577,2468,1,79,-28,-60,0,1,3
5,1496756577,2468,2,89,-27,-64,0,0,3
5,1496756577,2468,3,70,-24,-46,0,0,3
