ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
3,1496757321,3291,1,-63,-10,-78,0,0,0
3,1496757321,3291,2,-63,-10,-79,0,0,0
3,1496757321,3291,3,-63,-10,-77,0,0,0
3,1496757321,3291,4,-64,-11,-79,0,0,0
3,1496757321,3291,5,-62,-11,-79,0,0,0
3,1496757321,3291,6,-64,-11,-78,0,0,0
3,1496757321,3291,7,-62,-10,-78,0,0,0
3,1496757321,3291,8,-63,-10,-78,0,0,0
3,1496757321,3291,9,-63,-10,-78,0,0,0
3,1496757321,3291,10,-63,-10,-78,0,0,0
3,1496757321,3291,11,-64,-11,-77,0,0,0
3,1496757321,3291,12,-62,-11,-78,0,0,0
3,1496757321,3291,13,-64,-11,-77,0,0,0
3,1496757321,3291,14,-64,-10,-78,0,0,0
3,1496757321,3291,15,-64,-10,-78,0,0,0
3,1496757321,3291,16,-63,-10,-77,0,0,0
3,1496757321,3291,17,-62,-11,-77,0,0,0
3,1496757321,3291,18,-63,-11,-78,0,0,0
3,1496757321,3291,19,-64,-11,-77,0,0,0
3,1496757321,3291,20,-64,-11,-79,0,0,0
3,1496757322,3292,1,-63,-11,-77,0,0,0
3,1496757322,3292,2,-63,-10,-78,0,0,0
3,1496757322,3292,3,-62,-11,-78,0,0,0
3,1496757322,3292,4,-63,-11,-77,0,0,0
3,1496757322,3292,5,-64,-10,-79,0,0,0
3,1496757322,3292,6,-63,-11,-78,0,0,0
3,1496757322,3292,7,-63,-10,-77,0,0,0
3,1496757322,3292,8,-63,-10,-78,0,0,0
3,1496757322,3292,9,-62,-11,-79,0,0,0
3,1496757322,3292,10,-64,-10,-77,0,0,0
3,1496757322,3292,11,-64,-11,-78,0,0,0
3,1496757322,3292,12,-62,-9,-80,0,0,0
3,1496757322,3292,13,-62,-10,-78,0,0,0
3,1496757322,3292,14,-63,-10,-78,0,0,0
3,1496757322,3292,15,-65,-11,-78,0,0,0
3,1496757322,3292,16,-63,-11,-78,0,0,0
3,1496757322,3292,17,-64,-11,-77,0,0,0
3,1496757322,3292,18,-63,-10,-80,0,0,0
3,1496757322,3292,19,-62,-10,-76,0,0,0
3,1496757322,3292,20,-62,-10,-78,0,0,0
3,1496757323,3293,1,-63,-11,-78,0,0,0
3,1496757323,3293,2,-63,-11,-78,0,0,0
3,1496757323,3293,3,-62,-11,-78,0,0,0
3,1496757323,3293,4,-64,-11,-79,0,0,0
3,1496757323,3293,5,-63,-11,-80,0,0,0
3,1496757323,3293,6,-63,-10,-78,0,0,0
3,1496757323,3293,7,-63,-10,-77,0,0,0
3,1496757323,3293,8,-62,-10,-78,0,0,0
3,1496757323,3293,9,-62,-11,-78,0,0,0
3,1496757323,3293,10,-63,-11,-78,0,0,0
3,1496757323,3293,11,-64,-11,-78,0,0,0
3,1496757323,3293,12,-64,-11,-79,0,0,0
3,1496757323,3293,13,-63,-11,-77,0,0,0
3,1496757323,3293,14,-62,-11,-76,0,0,0
3,1496757323,3293,15,-61,-11,-77,0,0,0
3,1496757323,3293,16,-62,-11,-78,0,0,0
3,1496757323,3293,17,-63,-10,-79,0,0,0
3,1496757323,3293,18,-65,-10,-79,0,0,0
3,1496757323,3293,19,-63,-9,-77,0,0,0
3,1496757323,3293,20,-63,-11,-78,0,0,0
3,1496757324,3294,1,-62,-11,-78,0,0,0
3,1496757324,3294,2,-63,-11,-76,0,0,0
3,1496757324,3294,3,-62,-11,-78,0,0,0
3,1496757324,3294,4,-63,-12,-79,0,0,0
3,1496757324,3294,5,-63,-12,-80,0,0,0
3,1496757324,3294,6,-62,-11,-79,0,0,0
3,1496757324,3294,7,-64,-11,-77,0,0,0
3,1496757324,3294,8,-64,-11,-78,0,0,0
3,1496757324,3294,9,-64,-11,-79,0,0,0
3,1496757324,3294,10,-63,-11,-79,0,0,0
3,1496757324,3294,11,-62,-11,-75,0,0,0
3,1496757324,3294,12,-63,-11,-76,0,0,0
3,1496757324,3294,13,-62,-11,-76,0,0,0
3,1496757324,3294,14,-63,-11,-77,0,0,0
3,1496757324,3294,15,-63,-12,-79,0,0,0
3,1496757324,3294,16,-64,-12,-80,0,0,0
3,1496757324,3294,17,-65,-12,-80,0,0,0
3,1496757324,3294,18,-63,-10,-78,0,0,0
3,1496757324,3294,19,-63,-11,-77,0,0,0
3,1496757324,3294,20,-63,-11,-78,0,0,0
3,1496757325,3294,1,-63,-11,-78,0,0,0
3,1496757325,3294,2,-63,-12,-79,0,0,0
3,1496757325,3294,3,-62,-11,-78,0,0,0
3,1496757325,3294,4,-62,-10,-76,0,0,1
3,1496757325,3294,5,-62,-11,-75,0,0,0
3,1496757325,3294,6,-62,-11,-78,0,0,0
3,1496757325,3294,7,-63,-11,-79,0,0,0
3,1496757325,3294,8,-63,-11,-80,0,0,0
3,1496757325,3294,9,-64,-10,-78,0,0,0
3,1496757325,3294,10,-64,-10,-77,0,0,0
3,1496757325,3294,11,-64,-10,-76,0,0,0
3,1496757325,3294,12,-63,-11,-79,0,0,0
3,1496757325,3294,13,-62,-11,-77,0,0,0
3,1496757325,3294,14,-63,-11,-78,0,0,0
3,1496757325,3294,15,-63,-12,-78,0,0,0
