ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
4,1496757320,3251,1,-64,49,-33,1,0,-4
4,1496757320,3251,2,-69,55,-33,1,1,9
4,1496757320,3251,3,-83,61,-43,-2,-2,-10
4,1496757320,3251,4,-78,62,-43,-4,0,7
4,1496757320,3251,5,-93,68,-47,0,0,3
4,1496757320,3251,6,-62,47,-29,3,0,-8
4,1496757320,3251,7,-90,65,-47,0,-2,-4
4,1496757320,3251,8,-61,51,-32,-4,3,5
4,1496757320,3251,9,-63,49,-31,1,0,-6
4,1496757320,3251,10,-79,60,-42,-4,1,5
4,1496757320,3251,11,-76,54,-37,3,-2,-6
4,1496757320,3251,12,-64,50,-33,-2,3,5
4,1496757320,3251,13,-81,61,-40,1,-4,-6
4,1496757320,3251,14,-59,48,-30,0,3,3
4,1496757320,3251,15,-93,67,-48,-2,0,1
4,1496757320,3251,16,-66,51,-32,1,-2,-8
4,1496757320,3251,17,-91,67,-47,-2,0,0
4,1496757320,3251,18,-90,65,-46,0,0,0
4,1496757320,3251,19,-65,48,-32,3,0,-4
4,1496757320,3251,20,-96,69,-48,0,0,0
4,1496757321,3252,1,-88,62,-42,1,-4,-6
4,1496757321,3252,2,-60,47,-30,0,1,0
4,1496757321,3252,3,-85,61,-42,0,-2,-4
4,1496757321,3252,4,-82,62,-40,1,-2,-4
4,1496757321,3252,5,-71,54,-37,-4,3,3
4,1496757321,3252,6,-71,52,-34,1,-2,-6
4,1496757321,3252,7,-71,54,-36,-2,3,3
4,1496757321,3252,8,-73,55,-39,-4,3,5
4,1496757321,3252,9,-79,62,-41,-2,1,3
4,1496757321,3252,10,-82,58,-41,0,-2,-4
4,1496757321,3252,11,-73,56,-36,-2,3,3
4,1496757321,3252,12,-73,56,-38,-2,3,3
4,1496757321,3252,13,-67,50,-32,1,0,-4
4,1496757321,3252,14,-67,52,-34,1,0,-2
4,1496757321,3252,15,-70,54,-35,-2,3,1
4,1496757321,3252,16,-72,54,-36,1,-2,-4
4,1496757321,3252,17,-72,52,-36,1,-2,-4
4,1496757321,3252,18,-65,52,-34,0,1,1
4,1496757321,3252,19,-84,63,-42,0,0,0
4,1496757321,3252,20,-80,60,-39,1,-2,-2
4,1496757323,3254,1,-63,50,-32,1,0,0
4,1496757323,3254,2,-74,56,-35,-2,3,3
4,1496757323,3254,3,-78,56,-39,0,-2,-6
4,1496757323,3254,4,-81,59,-40,0,-2,-4
4,1496757323,3254,5,-62,49,-32,0,1,0
4,1496757323,3254,6,-62,50,-33,0,1,0
4,1496757323,3254,7,-73,57,-38,-2,3,3
4,1496757323,3254,8,-74,55,-38,3,-4,-4
4,1496757323,3254,9,-78,58,-39,1,-4,-4
4,1496757323,3254,10,-65,50,-34,1,0,-4
4,1496757323,3254,11,-65,51,-32,0,3,1
4,1496757323,3254,12,-71,56,-37,-2,3,3
4,1496757323,3254,13,-79,57,-39,1,-4,-4
4,1496757323,3254,14,-85,61,-43,0,-2,-2
4,1496757323,3254,15,-73,53,-36,3,-4,-4
4,1496757323,3254,16,-62,47,-32,0,1,0
4,1496757323,3254,17,-61,43,-32,-2,3,0
4,1496757323,3254,18,-76,58,-39,-4,5,1
4,1496757323,3254,19,-79,56,-40,1,-4,-6
4,1496757323,3254,20,-83,62,-42,0,-4,-4
4,1496757324,3255,1,-73,55,-36,3,-4,-2
4,1496757324,3255,2,-65,49,-33,1,-2,-4
4,1496757324,3255,3,-61,50,-33,0,1,0
4,1496757324,3255,4,-70,56,-37,-2,5,3
4,1496757324,3255,5,-82,64,-42,-2,1,3
4,1496757324,3255,6,-89,65,-45,0,0,0
4,1496757324,3255,7,-62,49,-32,0,0,-2
4,1496757324,3255,8,-51,40,-28,0,0,-4
4,1496757324,3255,9,-69,54,-36,0,1,0
4,1496757324,3255,10,-63,49,-31,0,5,0
4,1496757324,3255,11,-69,54,-36,-2,5,0
4,1496757324,3255,12,-81,62,-42,0,-2,0
4,1496757324,3255,13,-83,62,-42,-2,1,0
4,1496757324,3255,14,-82,61,-41,0,-2,0
4,1496757324,3255,15,-69,51,-36,0,-2,-2
4,1496757324,3255,16,-70,52,-35,1,-2,-2
4,1496757324,3255,17,-66,50,-36,0,0,-2
4,1496757324,3255,18,-67,53,-32,0,1,0
