ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1496757328,3259,1,10,-9,-110,0,0,1
0,1496757328,3259,2,3,0,-107,0,0,1
0,1496757328,3259,3,8,-7,-99,0,0,1
0,1496757328,3259,4,7,0,-109,0,0,1
0,1496757328,3259,5,10,5,-102,0,0,0
0,1496757328,3259,6,1,-2,-105,0,0,1
0,1496757328,3259,7,7,3,-107,0,0,0
0,1496757328,3259,8,12,-5,-107,0,0,1
0,1496757328,3259,9,5,-1,-101,1,0,0
0,1496757328,3259,10,6,-4,-112,0,0,1
0,1496757328,3259,11,8,2,-98,0,0,0
0,1496757328,3259,12,8,-2,-95,1,0,1
0,1496757328,3259,13,8,1,-98,0,0,0
0,1496757328,3259,14,7,-5,-100,0,0,1
0,1496757328,3259,15,7,-5,-103,0,0,1
0,1496757328,3259,16,7,-1,-108,0,0,1
0,1496757328,3259,17,3,2,-99,1,0,1
0,1496757328,3259,18,7,-2,-101,0,0,0
0,1496757328,3259,19,7,-1,-98,0,0,1
0,1496757328,3259,20,8,1,-97,0,0,0
0,1496757330,3261,1,6,3,-93,0,0,1
0,1496757330,3261,2,3,2,-101,0,0,1
0,1496757330,3261,3,7,1,-99,0,0,1
0,1496757330,3261,4,5,-4,-81,0,0,1
0,1496757330,3261,5,5,0,-98,0,0,1
0,1496757330,3261,6,4,-2,-99,0,0,1
0,1496757330,3261,7,11,0,-102,0,0,1
0,1496757330,3261,8,6,-1,-105,1,0,1
0,1496757330,3261,9,6,7,-99,0,0,0
0,1496757330,3261,10,5,-1,-98,1,0,0
0,1496757330,3261,11,5,-2,-107,0,0,1
0,1496757330,3261,12,-6,0,118,0,0,3
0,1496757330,3261,13,4,0,-111,1,-2,0
0,1496757330,3261,14,8,2,-90,0,0,0
0,1496757330,3261,15,9,0,-106,0,0,3
0,1496757330,3261,16,2,0,-101,0,0,1
0,1496757330,3261,17,14,0,-96,0,0,1
0,1496757330,3261,18,7,2,-101,0,0,1
0,1496757330,3261,19,6,2,-102,1,0,1
0,1496757330,3261,20,5,3,-102,0,0,3
0,1496757331,3262,1,7,5,-109,0,-2,0
0,1496757331,3262,2,8,-1,-97,0,0,0
0,1496757331,3262,3,7,1,-100,0,0,0
0,1496757331,3262,4,12,0,-107,1,0,0
0,1496757331,3262,5,4,2,-105,0,0,0
0,1496757331,3262,6,7,-4,-101,0,0,0
0,1496757331,3262,7,5,5,-102,0,0,1
0,1496757331,3262,8,7,2,-98,0,0,0
0,1496757331,3262,9,9,0,-111,0,0,1
0,1496757331,3262,10,9,-3,-116,0,0,1
0,1496757331,3262,11,7,-2,-110,0,0,1
0,1496757331,3262,12,9,-1,-101,0,-2,1
0,1496757331,3262,13,9,-1,-105,0,0,0
0,1496757331,3262,14,8,0,-101,0,0,1
0,1496757331,3262,15,5,-2,-104,0,0,0
0,1496757331,3262,16,4,0,-99,0,0,1
0,1496757331,3262,17,7,7,-95,0,0,0
0,1496757331,3262,18,6,-3,-97,0,-2,1
0,1496757331,3262,19,7,5,-108,0,0,1
0,1496757331,3262,20,11,-3,-93,0,0,1
0,1496757332,3263,1,0,0,-112,0,-2,1
0,1496757332,3263,2,5,2,-118,0,0,0
0,1496757332,3263,3,2,4,-105,0,-2,1
0,1496757332,3263,4,7,2,-103,0,0,1
0,1496757332,3263,5,2,-3,-103,0,0,1
0,1496757332,3263,6,10,5,-96,1,0,1
0,1496757332,3263,7,2,-3,-109,0,0,0
0,1496757332,3263,8,12,-1,-105,0,0,3
0,1496757332,3263,9,9,-1,-101,0,0,1
0,1496757332,3263,10,3,0,-101,0,0,1
0,1496757332,3263,11,-3,1,-97,0,0,1
0,1496757332,3263,12,13,-2,-109,0,0,1
0,1496757332,3263,13,3,6,-102,0,0,1
0,1496757332,3263,14,3,0,-105,0,0,1
0,1496757332,3263,15,4,-3,-103,0,0,0
0,1496757332,3263,16,8,-1,-95,0,0,1
0,1496757332,3263,17,-1,0,-101,0,0,1
0,1496757332,3263,18,4,-1,-108,0,0,1
0,1496757332,3263,19,0,0,-104,0,0,1
0,1496757332,3263,20,8,-3,-98,0,0,1
0,1496757332,3264,1,6,0,-104,0,0,1
0,1496757332,3264,2,5,0,-100,0,0,0
0,1496757332,3264,3,6,2,-98,0,0,0
0,1496757332,3264,4,4,0,-96,0,0,0
0,1496757332,3264,5,6,6,-92,0,0,1
0,1496757332,3264,6,11,-1,-100,0,0,1
0,1496757332,3264,7,7,-1,-105,0,0,1
0,1496757332,3264,8,7,0,-97,0,0,0
0,1496757332,3264,9,7,0,-104,0,0,1
0,1496757332,3264,10,4,0,-99,0,0,1
0,1496757332,3264,11,4,3,-107,0,0,1
0,1496757332,3264,12,10,-4,-100,0,0,1
0,1496757332,3264,13,5,0,-107,0,0,1
0,1496757332,3264,14,6,-1,-106,0,0,0
0,1496757332,3264,15,2,-1,-106,0,0,0
0,1496757332,3264,16,4,2,-107,1,0,0
0,1496757332,3264,17,7,1,-108,0,0,0
0,1496757332,3264,18,9,2,-101,0,0,0
0,1496757332,3264,19,6,2,-100,0,0,1
0,1496757332,3264,20,8,-4,-111,0,0,1
0,1496757334,3266,1,11,2,-96,0,0,0
0,1496757334,3266,2,3,-2,-98,0,0,0
0,1496757334,3266,3,3,2,-109,0,0,0
0,1496757334,3266,4,8,-1,-98,0,0,0
0,1496757334,3266,5,9,-1,-109,1,0,1
