ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
6,1496892447,1130,1,-84,-30,26,0,0,0
6,1496892447,1130,2,-84,-30,28,0,0,0
6,1496892447,1130,3,-84,-30,26,0,0,0
6,1496892447,1130,4,-84,-30,28,0,0,0
6,1496892447,1130,5,-86,-30,28,0,0,0
6,1496892447,1130,6,-84,-30,28,0,0,0
6,1496892447,1130,7,-84,-30,28,0,0,0
6,1496892447,1130,8,-84,-30,28,0,0,0
6,1496892447,1130,9,-84,-30,28,0,0,0
6,1496892447,1130,10,-86,-30,26,0,0,0
6,1496892447,1130,11,-84,-30,28,0,0,0
6,1496892447,1130,12,-84,-30,26,0,0,0
6,1496892447,1130,13,-40,66,140,0,-146,-16
6,1496892447,1130,14,-154,-18,-48,0,-222,250
6,1496892447,1130,15,-74,-50,2,0,-62,48
6,1496892447,1130,16,-54,-36,28,0,40,24
6,1496892447,1130,17,-20,-28,-200,0,82,46
6,1496892447,1130,18,0,12,-110,0,-22,18
6,1496892447,1130,19,104,10,-54,0,-126,80
6,1496892447,1130,20,-136,-24,-118,0,56,180
6,1496892448,1131,1,-28,-12,-150,0,250,-60
6,1496892448,1131,2,-134,-6,-32,0,250,-2
6,1496892448,1131,3,-142,-8,6,0,146,-130
6,1496892448,1131,4,-88,0,-34,0,-12,-14
6,1496892448,1131,5,-46,0,16,0,-12,-12
6,1496892448,1131,6,-140,-8,0,0,16,34
6,1496892448,1131,7,-104,-6,4,0,-22,38
6,1496892448,1131,8,-114,-10,2,0,-72,54
6,1496892448,1131,9,-94,2,8,0,-38,116
6,1496892448,1131,10,-102,-12,8,0,-16,38
6,1496892448,1131,11,-116,-2,2,0,-36,-66
6,1496892448,1131,12,-102,2,-2,0,0,-64
6,1496892448,1131,13,-110,4,-6,0,16,-80
6,1496892448,1131,14,-118,8,-4,0,24,-46
6,1496892448,1131,15,-100,10,-28,0,62,-56
6,1496892448,1131,16,-90,22,-12,0,94,-38
6,1496892448,1131,17,-100,18,-6,0,108,36
6,1496892448,1131,18,-102,34,6,0,20,100
6,1496892448,1131,19,-104,-4,-90,0,-116,162
6,1496892448,1131,20,-106,16,-94,0,-74,136
6,1496892449,1132,1,-62,8,-46,0,6,132
6,1496892449,1132,2,-122,22,-30,0,18,50
6,1496892449,1132,3,-68,50,-2,0,64,88
6,1496892449,1132,4,-100,32,-18,0,30,32
6,1496892449,1132,5,-56,52,-10,0,48,-18
6,1496892449,1132,6,-88,44,-22,0,112,34
6,1496892449,1132,7,-64,76,-14,0,122,-26
6,1496892449,1132,8,-100,70,2,0,58,116
6,1496892449,1132,9,-48,88,-6,0,-42,194
6,1496892449,1132,10,-104,56,-18,0,-142,136
6,1496892449,1132,11,-68,60,-20,0,-112,146
6,1496892449,1132,12,-46,62,-22,0,-134,122
6,1496892449,1132,13,-40,74,-30,0,-56,0
6,1496892449,1132,14,-24,70,-42,0,-40,50
6,1496892449,1132,15,-24,86,-22,0,40,-26
6,1496892449,1132,16,-6,96,-24,0,44,-48
6,1496892449,1132,17,-54,102,-14,0,62,-40
6,1496892449,1132,18,-8,122,-4,0,68,10
6,1496892449,1132,19,-36,104,2,0,-40,102
6,1496892449,1132,20,-54,68,-34,0,-64,84
6,1496892450,1133,1,-20,78,-26,0,-70,34
6,1496892450,1133,2,-12,76,-36,0,-60,8
6,1496892450,1133,3,-24,86,-36,0,0,-52
6,1496892450,1133,4,-38,94,-24,0,76,-62
6,1496892450,1133,5,-42,100,-12,0,72,-52
6,1496892450,1133,6,-42,106,-2,0,-2,-4
6,1496892450,1133,7,-40,94,-18,0,-82,34
6,1496892450,1133,8,-40,82,-26,0,-74,20
6,1496892450,1133,9,-28,96,-28,0,-58,-10
6,1496892450,1133,10,-14,90,-34,0,-28,16
6,1496892450,1133,11,-40,76,-28,0,14,-6
6,1496892450,1133,12,-34,90,-24,0,48,-44
6,1496892450,1133,13,-48,96,-16,0,40,-28
6,1496892450,1133,14,-34,92,-12,0,14,-6
6,1496892450,1133,15,-52,90,-14,0,4,-28
6,1496892450,1133,16,-38,92,-18,0,-24,-2
6,1496892450,1133,17,-18,92,24,0,-114,114
6,1496892450,1133,18,-32,56,-38,0,-76,-18
6,1496892450,1133,19,-42,94,-20,0,-30,54
6,1496892450,1133,20,-34,82,-34,0,-52,22
6,1496892451,1134,1,-34,92,-18,0,-26,14
6,1496892451,1134,2,-38,94,-18,0,-18,20
6,1496892451,1134,3,-32,90,-24,0,-12,0
6,1496892451,1134,4,-26,94,-32,0,-58,20
6,1496892451,1134,5,-32,92,-30,0,-22,8
6,1496892451,1134,6,-30,88,-26,0,-106,16
6,1496892451,1134,7,-44,86,-28,0,-18,0
6,1496892451,1134,8,-24,86,-32,0,-92,34
6,1496892451,1134,9,-40,88,-40,0,-62,36
6,1496892451,1134,10,-34,94,-40,0,8,14
6,1496892451,1134,11,-22,88,-30,0,-20,60
6,1496892451,1134,12,-44,98,-20,0,-2,0
6,1496892451,1134,13,-26,92,-38,0,-6,12
6,1496892451,1134,14,-46,86,-26,0,12,12
6,1496892451,1134,15,-34,88,-44,0,12,14
6,1496892451,1134,16,-20,90,-34,0,-8,4
6,1496892451,1134,17,-38,90,-34,0,-48,56
6,1496892451,1134,18,-20,94,-32,0,-2,30
6,1496892451,1134,19,-20,100,-12,0,-4,-24
6,1496892451,1134,20,-10,92,-38,0,0,16
6,1496892452,1135,1,-10,98,-32,0,-34,12
6,1496892452,1135,2,-26,96,-32,0,-58,20
6,1496892452,1135,3,-20,94,-38,0,-8,20
6,1496892452,1135,4,-14,102,-24,0,-94,-10
6,1496892452,1135,5,-22,100,-28,0,-98,0
6,1496892452,1135,6,-18,96,-40,0,-74,2
6,1496892452,1135,7,-16,98,-40,0,-60,-6
