ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
6,1496891926,576,1,-40,44,-70,0,-6,-8
6,1496891926,576,2,-48,56,-82,0,0,-32
6,1496891926,576,3,-50,46,-70,0,-6,-6
6,1496891926,576,4,-52,54,-74,0,0,18
6,1496891926,576,5,-54,54,-88,0,-28,-24
6,1496891926,576,6,-50,48,-80,0,0,4
6,1496891926,576,7,-50,50,-78,0,0,0
6,1496891926,576,8,-50,48,-80,0,-6,-6
6,1496891926,576,9,-48,44,-80,0,-6,-30
6,1496891926,576,10,-56,48,-78,0,0,-10
6,1496891926,576,11,-52,48,-74,0,0,-18
6,1496891926,576,12,-54,46,-76,0,0,0
6,1496891926,576,13,-54,48,-78,0,2,-2
6,1496891926,576,14,-52,48,-80,0,8,14
6,1496891926,576,15,-50,48,-80,0,2,6
6,1496891926,576,16,-52,48,-78,0,0,8
6,1496891926,576,17,-52,46,-78,0,0,6
6,1496891926,576,18,-52,56,-84,0,4,20
6,1496891926,576,19,-50,46,-74,0,2,8
6,1496891926,576,20,-50,50,-76,0,2,2
6,1496891927,577,1,-48,52,-78,0,0,8
6,1496891927,577,2,-52,46,-76,0,0,14
6,1496891927,577,3,-50,54,-76,0,2,4
6,1496891927,577,4,-48,50,-76,0,0,4
6,1496891927,577,5,-48,54,-78,0,2,10
6,1496891927,577,6,-46,52,-80,0,2,2
6,1496891927,577,7,-48,50,-78,0,2,8
6,1496891927,577,8,-48,52,-76,0,2,8
6,1496891927,577,9,-46,52,-80,0,2,2
6,1496891927,577,10,-46,50,-80,0,2,0
6,1496891927,577,11,-46,50,-80,0,0,0
6,1496891927,577,12,-48,52,-80,0,0,0
6,1496891927,577,13,-46,52,-80,0,0,-4
6,1496891927,577,14,-46,52,-76,0,0,2
6,1496891927,577,15,-48,52,-76,0,0,0
6,1496891927,577,16,-46,50,-78,0,0,2
6,1496891927,577,17,-46,50,-78,0,0,6
6,1496891927,577,18,-46,50,-80,0,2,6
6,1496891927,577,19,-46,52,-78,0,4,10
6,1496891927,577,20,-44,52,-84,0,8,0
6,1496891928,578,1,-46,52,-82,0,6,0
6,1496891928,578,2,-44,50,-80,0,8,-6
6,1496891928,578,3,-44,58,-78,0,6,0
6,1496891928,578,4,-42,54,-78,0,0,0
6,1496891928,578,5,-44,52,-80,0,0,2
6,1496891928,578,6,-44,56,-80,0,2,4
6,1496891928,578,7,-42,56,-78,0,0,2
6,1496891928,578,8,-44,56,-78,0,0,0
6,1496891928,578,9,-44,52,-80,0,0,4
6,1496891928,578,10,-42,54,-82,0,2,2
6,1496891928,578,11,-44,54,-80,0,0,0
6,1496891928,578,12,-42,54,-80,0,0,2
6,1496891928,578,13,-44,60,-80,0,0,0
6,1496891928,578,14,-42,52,-80,0,0,-4
6,1496891928,578,15,-44,54,-78,0,0,0
6,1496891928,578,16,-42,52,-80,0,0,0
6,1496891928,578,17,-44,50,-80,0,0,4
6,1496891928,578,18,-42,52,-82,0,2,6
6,1496891928,578,19,-42,54,-82,0,0,0
6,1496891928,578,20,-42,52,-82,0,2,2
6,1496891929,579,1,-42,52,-80,0,0,2
6,1496891929,579,2,-42,54,-82,0,2,0
6,1496891929,579,3,-42,52,-82,0,2,0
6,1496891929,579,4,-42,52,-82,0,0,0
6,1496891929,579,5,-42,52,-80,0,0,-2
6,1496891929,579,6,-44,52,-82,0,2,-4
6,1496891929,579,7,-42,52,-84,0,0,-2
6,1496891929,579,8,-48,54,-76,0,10,-20
6,1496891929,579,9,-46,58,-82,0,12,-22
6,1496891929,579,10,-44,46,-76,0,18,-8
6,1496891929,579,11,-38,38,-88,0,10,-16
6,1496891929,579,12,-44,56,-88,0,8,16
6,1496891929,579,13,-34,54,-88,0,18,20
6,1496891929,579,14,-36,60,-90,0,-4,10
6,1496891929,579,15,-38,52,-84,0,-6,-4
6,1496891929,579,16,-36,54,-84,0,-16,-10
6,1496891929,579,17,-46,50,-70,0,28,-144
6,1496891929,579,18,-34,48,-84,0,-16,-72
