ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
6,1496891471,90,1,-64,-16,-80,0,0,0
6,1496891471,90,2,-64,-16,-80,0,0,0
6,1496891471,90,3,-64,-16,-80,0,0,0
6,1496891471,90,4,-64,-16,-80,0,0,0
6,1496891471,90,5,-64,-16,-80,0,0,0
6,1496891471,90,6,-64,-16,-80,0,0,0
6,1496891471,90,7,-64,-16,-80,0,0,0
6,1496891471,90,8,-64,-16,-80,0,0,0
6,1496891471,90,9,-64,-16,-80,0,0,0
6,1496891471,90,10,-64,-16,-80,0,0,0
6,1496891471,90,11,-64,-16,-80,0,0,0
6,1496891471,90,12,-64,-16,-80,0,0,0
6,1496891471,90,13,-64,-16,-80,0,0,0
6,1496891471,90,14,-64,-16,-80,0,0,0
6,1496891471,90,15,-64,-16,-80,0,0,0
6,1496891471,90,16,-64,-16,-80,0,0,0
6,1496891471,90,17,-64,-16,-80,0,0,0
6,1496891471,90,18,-64,-16,-78,0,0,0
6,1496891471,90,19,-64,-16,-80,0,0,0
6,1496891471,90,20,-64,-16,-80,0,0,0
6,1496891472,91,1,-64,-16,-80,0,0,0
6,1496891472,91,2,-64,-16,-80,0,0,0
6,1496891472,91,3,-64,-16,-80,0,0,0
6,1496891472,91,4,-64,-16,-80,0,0,0
6,1496891472,91,5,-64,-16,-80,0,0,0
6,1496891472,91,6,-64,-16,-80,0,0,0
6,1496891472,91,7,-64,-16,-80,0,0,0
6,1496891472,91,8,-64,-16,-80,0,0,0
6,1496891472,91,9,-64,-16,-80,0,0,0
6,1496891472,91,10,-64,-16,-80,0,0,0
6,1496891472,91,11,-64,-16,-80,0,0,0
6,1496891472,91,12,-64,-16,-80,0,0,0
6,1496891472,91,13,-64,-16,-80,0,0,0
6,1496891472,91,14,-64,-16,-80,0,0,0
6,1496891472,91,15,-64,-16,-80,0,0,0
6,1496891472,91,16,-64,-16,-80,0,0,0
6,1496891472,91,17,-64,-16,-80,0,0,0
6,1496891472,91,18,-64,-16,-80,0,0,0
6,1496891472,91,19,-64,-16,-80,0,0,0
6,1496891472,91,20,-64,-16,-80,0,0,0
6,1496891473,92,1,-64,-16,-80,0,0,0
6,1496891473,92,2,-64,-16,-80,0,0,0
6,1496891473,92,3,-64,-16,-80,0,0,0
6,1496891473,92,4,-64,-16,-80,0,0,0
6,1496891473,92,5,-64,-16,-80,0,0,0
6,1496891473,92,6,-64,-16,-80,0,0,0
6,1496891473,92,7,-64,-16,-80,0,0,0
6,1496891473,92,8,-64,-16,-80,0,0,0
6,1496891473,92,9,-64,-16,-80,0,0,0
6,1496891473,92,10,-64,-16,-80,0,0,0
6,1496891473,92,11,-64,-16,-80,0,0,0
6,1496891473,92,12,-64,-16,-80,0,0,0
6,1496891473,92,13,-64,-16,-80,0,0,0
6,1496891473,92,14,-64,-16,-80,0,0,0
6,1496891473,92,15,-64,-16,-80,0,0,0
6,1496891473,92,16,-64,-16,-80,0,0,0
6,1496891473,92,17,-64,-16,-80,0,0,0
6,1496891473,92,18,-64,-16,-80,0,0,0
6,1496891473,92,19,-64,-16,-80,0,0,0
6,1496891473,92,20,-64,-16,-80,0,0,0
6,1496891474,93,1,-64,-16,-80,0,0,0
6,1496891474,93,2,-64,-16,-80,0,0,0
6,1496891474,93,3,-64,-16,-80,0,0,0
6,1496891474,93,4,-64,-16,-80,0,0,0
6,1496891474,93,5,-64,-16,-80,0,0,0
6,1496891474,93,6,-64,-16,-80,0,0,0
6,1496891474,93,7,-64,-16,-80,0,0,0
6,1496891474,93,8,-64,-16,-80,0,0,0
6,1496891474,93,9,-64,-16,-80,0,0,0
6,1496891474,93,10,-64,-16,-80,0,0,0
6,1496891474,93,11,-64,-16,-80,0,0,0
6,1496891474,93,12,-64,-16,-80,0,0,0
6,1496891474,93,13,-64,-16,-80,0,0,0
6,1496891474,93,14,-64,-16,-80,0,0,0
6,1496891474,93,15,-64,-16,-80,0,0,0
6,1496891474,93,16,-64,-16,-80,0,0,0
6,1496891474,93,17,-64,-16,-80,0,0,0
6,1496891474,93,18,-64,-16,-80,0,0,0
6,1496891474,93,19,-64,-16,-80,0,0,0
6,1496891474,93,20,-64,-16,-80,0,0,0
6,1496891475,94,1,-64,-16,-80,0,0,0
6,1496891475,94,2,-64,-16,-80,0,0,0
6,1496891475,94,3,-74,-20,-84,0,-2,-4
6,1496891475,94,4,-64,-16,-80,0,0,0
6,1496891475,94,5,-64,-16,-80,0,0,0
6,1496891475,94,6,-64,-16,-80,0,0,0
6,1496891475,94,7,-64,-16,-82,0,2,0
6,1496891475,94,8,-64,-18,-80,0,0,0
6,1496891475,94,9,-64,-18,-80,0,2,0
6,1496891475,94,10,-64,-16,-80,0,0,0
6,1496891475,94,11,-62,-16,-80,0,0,0
6,1496891475,94,12,-58,-16,-82,0,0,2
6,1496891475,94,13,-42,-18,-84,0,-26,-14
6,1496891475,94,14,-64,-16,-72,0,-10,-10
6,1496891475,94,15,-64,-6,-122,0,-202,-78
6,1496891475,94,16,-66,28,-70,0,-42,22
6,1496891475,94,17,-126,32,-98,0,-10,210
6,1496891475,94,18,-98,2,-76,0,-38,234
6,1496891475,94,19,-90,36,-88,0,-62,52
6,1496891475,94,20,-68,120,-54,0,-122,250
6,1496891476,95,1,-72,-6,-84,0,-10,166
6,1496891476,95,2,-56,68,-56,0,64,-74
